gene_symbol,log2FoldChange,pvalue,t_statistic,mean_case,mean_ctrl,padj,comparison,dataset,ischemia_also
A2LD1,-1.9848499595888116,1.767644450426563e-12,-9.795339070639391,7.9553904475893065,9.940240407178118,1.3254812673100573e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
A4GALT,0.4269347963091512,9.99662761037641e-10,7.140480180542771,7.9039512698726995,7.477016473563548,4.585912035831018e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ABAT,-0.7078053063755965,2.2131043643636426e-05,-4.734193864917398,7.99209855008312,8.699903856458716,0.00031806853876216386,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABCA1,-0.48731379130135544,4.5004466497944326e-08,-6.346966651657985,8.691073598925422,9.178387390226778,1.4075857934342184e-06,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ABCB1,-0.6700205495018379,2.13466004692485e-09,-7.510971221888349,7.76589089030156,8.435911439803398,9.079751687966397e-08,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABCC6,-0.5669156205064274,2.5708576667916164e-06,-5.415507575675676,7.626638158500342,8.19355377900677,4.867158841985731e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABHD10,-0.6264017644027806,3.3808797391294307e-11,-8.574084002563016,7.96295415469638,8.58935591909916,2.0144967136821213e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABHD11,0.43881844983838647,3.748347296121032e-14,9.165136613923133,7.4346724061027505,6.995853956264364,3.6670168768819406e-12,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ABHD14A,-1.1163646380560976,3.925548385423409e-11,-8.873870124641444,8.211692020373324,9.328056658429421,2.3160735473998112e-09,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABHD6,-0.5321315790461814,2.3831478294171983e-06,-5.334063399699188,8.353717026372406,8.885848605418587,4.550698127103644e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABI3BP,-0.4395087293102895,4.812216972489093e-07,-5.837289978881433,7.357053888998787,7.796562618309077,1.1379175457093798e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABP1,-0.9873886956574456,7.280070401029733e-07,-5.649878822460428,9.320502535189943,10.307891230847389,1.6368290836991866e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ABR,-0.4718934946330364,1.4778307964050882e-05,-4.817514533573671,8.216040647593214,8.68793414222625,0.00022467621291063553,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACAD11,-0.4910199731079281,0.0015810398038447286,-3.3545456508590386,9.454293172870802,9.94531314597873,0.011759123307697347,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACAD8,-0.38605403265173166,4.240112773752336e-09,-7.135680565970584,8.754243121345118,9.14029715399685,1.6685577554110341e-07,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ACADM,-0.5222148200511825,2.5410517766930814e-06,-5.299231517427941,10.870569341815024,11.392784161866206,4.819406000457523e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACE2,-0.6535937348700607,0.00043876492130863264,-3.779996185261989,8.836047284214953,9.489641019085013,0.004039729469181495,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACOT4,-0.4983269263021146,8.123945068855381e-07,-5.630928456490254,8.172130856219804,8.670457782521918,1.8024788882465157e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACOX2,-0.7036486269342621,0.0003650100279367755,-3.8538189038135373,9.301155901694909,10.00480452862917,0.0034629853056419337,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACSM3,-0.3951307683735621,1.4472236084895969e-06,-5.542378327665388,7.6803484012863255,8.075479169659888,2.9553570649675665e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ACTB,0.4244678066952936,1.6363867854565195e-05,4.842139880693347,13.087078407404121,12.662610600708827,0.0002455864534562947,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ACY3,-0.793338015663382,2.526768097567669e-06,-5.370106370326188,7.832653750801644,8.625991766465026,4.7944769310049225e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ADAMTS1,2.2277952862786297,1.578182010199634e-20,14.25408105830101,10.344555988233319,8.11676070195469,4.175432869375346e-18,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ADAMTS9,0.5069717307939623,2.313291753254337e-14,10.113402941484914,7.926611404106845,7.419639673312883,2.342171360088281e-12,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ADH1A,-0.5495641224415806,7.751766331367831e-05,-4.290456431107276,8.887857902691541,9.437422025133122,0.000937050443280605,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ADH6,-0.5770456182351102,4.5086444850020674e-06,-5.252895020345795,7.275350816494808,7.852396434729918,7.909305569248622e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ADI1,-0.43533628385767287,0.0011607386658539095,-3.4466209212304024,8.78316833352407,9.218504617381743,0.009099663335161464,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
ADM,1.8568563823141897,4.428039271767965e-17,12.823434547645792,11.809756821297391,9.952900438983201,6.899049186868999e-15,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
ADSSL1,-0.9118493732112203,3.5216745239895307e-12,-9.623833971404316,7.373242179209798,8.285091552421019,2.4732267479243335e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AFM,-1.3018561475358492,1.455700386165634e-05,-4.839415615174823,8.663429384184063,9.965285531719912,0.00022163209607249266,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AFP,-1.931913346310628,3.8472353938242334e-12,-9.588565302031656,7.941825145150492,9.87373849146112,2.6794975382782126e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AFTPH,-0.4264800282795136,2.2909334553127405e-06,-5.384555276083496,8.502391481786407,8.928871510065921,4.399009320428382e-05,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,True
AGBL5,-0.4084367594581515,2.0662927072483672e-12,-9.025962316131347,8.192776046106836,8.601212805564987,1.5276403394695442e-10,IRI_vs_Control (T3_deceased vs T1_living),GSE43974,False
